abbot	<dt>:the superior of a monastery for men</dt>
abode	<dt>:<sx>wait</sx> <sx>delay</sx></dt> <dt>:a temporary stay :<sx>sojourn</sx></dt> <dt>:the place where one abides :<sx>home</sx></dt>
accruing	<dt>:to come into existence as a legally enforceable claim</dt> <dt>:to come about as a natural growth, increase, or advantage <vi>the wisdom that <it>accrue</it><it>s</it> with age</vi></dt>  <dt>:to come as a direct result of some state or action <vi>rewards due to the feminine will <it>accrue</it> to me <aq>Germaine Greer</aq></vi></dt> <dt>:to accumulate or be added periodically <vi>interest <it>accrue</it><it>s</it> on a daily basis</vi></dt><dt>:to accumulate or have due after a period of time <vi><it>accrue</it> vacation time</vi></dt>
acquiescence	<dt>:the act of <fw>acquiescing</fw> :the state of being <fw>acquiescent</fw></dt> <dt>:an instance of acquiescing</dt>
addled	<dt>:to throw into confusion :<sx>confound</sx></dt><dt>:to become rotten :<sx>spoil</sx></dt> <dt>:to become confused</dt>
aegis	<dt>:a shield or breastplate emblematic of majesty that was associated with Zeus and Athena</dt> <dt>:<sx>protection</sx> <vi>under the <it>aegis</it> of the Constitution</vi></dt>  <dt>:controlling or conditioning influence <vi>many American mothers, under the <it>aegis</it> of benevolent permissiveness &#8230; actually neglect their children <aq><it>Time</it></aq></vi></dt> <dt>:<sx>auspices</sx> <sx>sponsorship</sx> <vi>under the <it>aegis</it> of the museum</vi></dt>  <dt>:control or guidance especially by an individual, group, or system</dt>
affidavit	<dt>:a sworn statement in writing made especially under oath or on <fw>affirmation</fw> before an authorized magistrate or officer</dt>
aggrandizement	<dt>:to make great or greater :<sx>increase</sx> <sx>enlarge</sx> <vi><it>aggrandize</it> an estate</vi></dt> <dt>:to make appear great or greater :praise highly</dt> <dt>:to enhance the power, wealth, position, or reputation of <vi>exploited the situation to <it>aggrandize</it> himself</vi></dt>
ague	<dt>:a fever (as malaria) marked by paroxysms of chills, fever, and sweating that recur at regular intervals</dt> <dt>:a fit of shivering</dt>
alderman	<dt>:a person governing a kingdom, district, or shire as viceroy for an Anglo-Saxon king</dt> <dt>:a magistrate formerly ranking next below the mayor in an English or Irish city or borough</dt>  <dt>:a high-ranking member of a borough or county council in Ireland or formerly in England chosen by elected members</dt> <dt>:a member of a city legislative body</dt>
alight	<dt> :to come down from something (as a vehicle): as</dt>  <dt>:<sx>dismount</sx></dt>  <dt>:<sx>deplane</sx> </dt> <dt>:to descend from or as if from the air and come to rest :<sx>land</sx> <sx>settle</sx></dt> <dt>:to come by chance</dt>
alighted	<dt> :to come down from something (as a vehicle): as</dt>  <dt>:<sx>dismount</sx></dt>  <dt>:<sx>deplane</sx> </dt> <dt>:to descend from or as if from the air and come to rest :<sx>land</sx> <sx>settle</sx></dt> <dt>:to come by chance</dt>
aloft	<dt>:at or to a great height <vi>measuring the winds <it>aloft</it></vi></dt> <dt>:in the air</dt> <dt>:in flight (as in an airplane) <vi>meals served <it>aloft</it></vi></dt> <dt>:at, on, or to the masthead or the higher rigging</dt>
aloof	<dt>:at a <d_link>distance</d_link></dt>
amble	<dt>:to go at or as if at an amble :<sx>saunter</sx></dt>
amenable	<dt>:<d_link>liable</d_link> to be brought to account :<sx>answerable</sx> <vi>citizens <it>amenable</it> to the law</vi></dt> <dt>:capable of submission (as to judgment or test) :<sx>suited</sx> <vi>the data is <it>amenable</it> to analysis</vi></dt>  <dt>:readily brought to <d_link>yield</d_link>, submit, or cooperate <vi>a government not <it>amenable</it> to change</vi></dt>  <dt>:<sx>willing <sxn>1</sxn></sx> <vi>was <it>amenable</it> to spending more time at home</vi></dt>
amphisboena	
an	<dt>:<sx>a</sx></dt>
anise	<dt>:a Eurasian annual herb (<it>Pimpinella anisum</it>) of the carrot family having carminative and aromatic seeds</dt> <dt>:<sx>aniseed</sx></dt>
